anime_id,name,genre,type,episodes,rating,members
33082,Kingsglaive: Final Fantasy XV,Action,Movie,1,7.83,15508
5232,Band of Ninja,Action,Movie,1,5.82,748
5873,Tarou-san no Kisha,Action,Movie,1,5.49,662
5869,Chou no Sainan,Action,Movie,1,5.38,619
6829,Izakaya no Ichiya,Action,Movie,1,5.31,406
5874,Sankou to Tako: Hyakumanryou Chinsoudou,Action,Movie,1,5.22,369
5872,Doubutsu Mura no Sports Day,Action,Movie,1,5.18,448
6848,Doubutsu Mura no Daisodou,Action,Movie,1,5.17,355
5870,Hibari no Yadogae,Action,Movie,1,4.98,519
4462,Tairiki Tarou no Mucha Shuugyou,Action,Movie,1,4.8,852
5812,Doubutsu Sumo Taikai,Action,Movie,1,4.67,585
5811,Nezumi no Rusuban,Action,Movie,1,4.64,532
5813,Urashima Tarou (1931),Action,Movie,1,4.58,841
6833,Ninjutsu Hinotama Kozou: Edo no Maki,Action,Movie,1,4.15,474
7527,Ponsuke no Udekurabe,Action,Movie,1,6.4,91
14821,Taekwon Dongja Maruchi Arachi,Action,Movie,1,4.53,93
15399,The Siamese: First Mission,Action,Movie,1,5.85,127
